"1","it's incredible learn television days saturday reported coffee made video says: coffee phase based smaller government lower wonder came conclusion was noted matthew barack obama's campaign maybe was conservative tea movement boil up its version coffee was coffee interviewed obama democrats speak it's obama's just pushing hard reporting skills clear bright future media read more: URL"
"0","meal industrial version dinner kind meal 1ST_PERSON preparing meal involves oven degrees serving go frozen ready twenty minutes chicken mac cheese pizza all nearly school kitchen 1ST_PERSON wonder happened time meals 1ST_PERSON school food was baked roasted didn_t egg salad traditionally involved eggs time labor pulling eggs water yellow green takes never problem eggs egg salad starts eggs bags keep surprisingly time eggs every time knew get eggs eggs bag 1ST_PERSON school kitchen 1ST_PERSON spotted 1ST_PERSON favorite grocery schools food isn_t priority isn_t homes 1ST_PERSON school went meals feed lots"
"1","1ST_PERSON never fail FEMALE leg given 1ST_PERSON jus ma always join wen targets 1ST_PERSON staff staff wat fun ve every minute she's power house power fails former starts FEMALE wen FEMALE falls asleep 1ST_PERSON wid lie FEMALE gud health imagine hey ve heart every thin delicious FEMALE sight bitter i've wanted u u rice every single"
"1","1ST_PERSON got 1ST_PERSON don't 1ST_PERSON healing 1ST_PERSON bone growth around 1ST_PERSON original 1ST_PERSON movement had feel bone all little pain important don't show ideal bone growth its safe 1ST_PERSON around 1ST_PERSON can't get off base 1ST_PERSON 1ST_PERSON however already 1ST_PERSON quite september maybe its cold northern was greek"
"1","decided attend round week had planning weeks again things change term longer term forgotten wanted staff sam things wanted suggest needed major input sort terms psychological support try get sam over started hard had sam elsewhere mentioned real happened possibility patients initial improvement leads ultimately further loss eager becomes apparent know want sam go can't weeks day sam family enjoyed lovely day together go get upward hard started medication change outside experience patients sam months time hospital health concerns psychological support"
"1","think everything around suddenly aware every woke up saturday morning FEMALE room 1ST_PERSON looked FEMALE FEMALE was dancing spinning circles FEMALE arms smile FEMALE FEMALE hair thrown around daddy up"" 1ST_PERSON picked FEMALE up FEMALE 1ST_PERSON FEMALE smile hearing FEMALE around together enjoying moment really truck fell off hadn't around 1ST_PERSON wasn't driving maybe roads mess snow covered tell waiting sick had 1ST_PERSON cold 1ST_PERSON make miserable night 1ST_PERSON held tried comfort none stood all did hurt did really want teeth held tried comfort share truck held just over snow ice pointed starting 1ST_PERSON travel counter just 1ST_PERSON was drivers ed over 25 pray just 1ST_PERSON was home nearly wound up fever FEMALE boil 1ST_PERSON FEMALE door FEMALE jacket hat crying outside FEMALE tells 1ST_PERSON 1ST_PERSON dressed FEMALE boots FEMALE got 1ST_PERSON tell FEMALE enjoy FEMALE going faster security daddy over FEMALE laughter dancing jumping up again again trips all up position go faster 1ST_PERSON hear FEMALE van stuck truck nearly 1ST_PERSON van up 1ST_PERSON van 1ST_PERSON 1ST_PERSON truck hits thick snow around van 1ST_PERSON 1ST_PERSON know 1ST_PERSON 1ST_PERSON nose snow 1ST_PERSON just lake snow up all around 1ST_PERSON snow over 1ST_PERSON windows 1ST_PERSON morning took leaving home 1ST_PERSON little FEMALE half crying mommy all over house FEMALE mommy 1ST_PERSON FEMALE finally day again dancing rare moment perspective 1ST_PERSON marvel appreciate moment FEMALE want 1ST_PERSON FEMALE don't dance together ""this precious 1ST_PERSON don't want 1ST_PERSON 1ST_PERSON moment 1ST_PERSON know really truck nearly lane flash 1ST_PERSON staring 1ST_PERSON eyes hard 1ST_PERSON 1ST_PERSON eyes meet 1ST_PERSON 1ST_PERSON finally 1ST_PERSON 1ST_PERSON snow all around 1ST_PERSON 1ST_PERSON 1ST_PERSON 1ST_PERSON shake 1ST_PERSON teeth 1ST_PERSON 1ST_PERSON family blind all 1ST_PERSON 1ST_PERSON wearing rough night night wife 1ST_PERSON got sleep around up off had gone children get night sleep woke sleep all did 1ST_PERSON wound 1ST_PERSON FEMALE ear every morning up love affection nuts corporate winter store up love affection outside house don't friends spirit days spirit runs get safe truck maybe 1ST_PERSON 1ST_PERSON think 1ST_PERSON 1ST_PERSON 1ST_PERSON snow quarter mile give gas possible truck foot feed its snow twenty don't go cars keep driving little faster up 45 pointed lets get home carefully safely go truck home feel kind door go too kids up home hair runs FEMALE bedroom throws herself around 1ST_PERSON knees up up up FEMALE 1ST_PERSON up 1ST_PERSON daughter 1ST_PERSON kitchen carrying never precious needed moment 1ST_PERSON moment time 1ST_PERSON never 1ST_PERSON feel took minutes get home barely"
"1","problem all walking door myspace isn_t number myspace leaving knowledge base star senior employees go reported week tonight we_ve heard jeff engineering director platforms myspace week join myspace nearly was star leaders recent _ general manager mobile john faith user experience FEMALE team ceo van lots we_ve company myspace internal politics myspace thrown away just wrong supported anyone build products job myspace feel differently please all massive management title recent quote former myspace accurate company rock think case time opinion myspace all until grip"
"1","1ST_PERSON 1ST_PERSON 1ST_PERSON poem issue lots lots things beautifully designed go subscribe please"
"0","1ST_PERSON keep having dreams someone breaks 1ST_PERSON home 1ST_PERSON it's just 1ST_PERSON all crazy morning 1ST_PERSON thought 1ST_PERSON had here's happened week 1ST_PERSON had photographer house pictures 1ST_PERSON figured 4 sets FEMALE came house was really came off FEMALE night 1ST_PERSON started having dreams someone house night FEMALE came deliver cd all pictures FEMALE brought FEMALE husband FEMALE walked house 1ST_PERSON caught really odd FEMALE husband off tattoo artist 1ST_PERSON 1ST_PERSON guy had didn't single smile 1ST_PERSON 1ST_PERSON was uncomfortable strangers house over FEMALE closely stood over prints FEMALE kept asking was relaxing chair living room 1ST_PERSON brought FEMALE over FEMALE 1ST_PERSON FEMALE walked over FEMALE husband saying baby ever he's 1ST_PERSON little 1ST_PERSON thought was cute guy didn't sort smile just looked shortly locked up house went normal bed went sleep 1ST_PERSON off every morning up up 1ST_PERSON 1ST_PERSON bottle goes bed go bed window sun window since window over sized had order black it's goes living room wake courtesy mornings 1ST_PERSON get up 1ST_PERSON turn baby monitor off crying wake pat up mornings anyway 1ST_PERSON wake up 1ST_PERSON 6 completely 1ST_PERSON clock monitor don't 1ST_PERSON hear baby 1ST_PERSON room he's 1ST_PERSON bloody murder bed going 1ST_PERSON floor crying screaming he's gone amy he's 1ST_PERSON 1ST_PERSON don't hear saying picks up 1ST_PERSON 1ST_PERSON sat floor felt happy 1ST_PERSON woke up around 4 1ST_PERSON heard got up decided feed attempt wake 1ST_PERSON since 1ST_PERSON sleeping dreams never 1ST_PERSON already 1ST_PERSON 1ST_PERSON just use waking up 1ST_PERSON didn't hear 1ST_PERSON immediately thought monitor just didn't already up all 1ST_PERSON pat didn't turn monitor off admitted girls husband scared wanted make hear side happening 1ST_PERSON ever happened 1ST_PERSON just don't know 1ST_PERSON myself he's 1ST_PERSON sometimes 1ST_PERSON child 1ST_PERSON catch myself saying 1ST_PERSON 1ST_PERSON heart just families had someone child dreaming 1ST_PERSON just truly couldn't imagine living nightmare"
"0","scientists developed system skin age it's called analysis skin age rate provides already thus provide assessment skin system major issues skin spots skin causes skin it's effects environment current skin"
